Pigmento Blanco (TiO2),Extender (CaCO3),Ligante (Resina Acrílica),Coalescente,Dispersante,Aditivo Antimicrobiano,Otros Aditivos,Agua,Tipo de Pintura,Proveedor Pigmento Blanco,Estado Final,Resistencia al Fregado (Ciclos),Viscosidad Final (KU),Poder Cubriente (m²/L),Brillo (60°),Estabilidad (meses),L,a,b
385.8,217.5,294.35,16.01,1.78,1.76,7.18,79.66,Satinado,Proveedor B,Éxito,1362.0,93.3,16.76,44.0,23.8,86.07,-3.48,2.95
385.33,230.44,209.1,7.96,9.14,1.49,7.03,202.33,Brillante,Proveedor A,Éxito,1315.0,91.0,19.1,29.0,24.9,94.04,-2.07,-1.09
473.03,137.29,228.27,10.87,3.7,1.99,9.96,270.09,Brillante,Proveedor C,Éxito,1360.0,90.9,19.64,57.0,23.5,92.23,4.07,2.44
349.88,224.38,535.53,19.57,4.31,2.44,8.71,258.56,Brillante,Proveedor C,Éxito,1590.0,91.4,18.63,61.0,22.7,85.61,-0.66,0.21
370.85,149.6,574.34,5.92,3.53,1.73,5.07,222.51,Mate,Proveedor C,Éxito,1601.0,91.7,15.77,26.0,21.5,93.29,-0.45,-2.36
357.44,128.02,216.49,18.36,5.95,0.65,9.35,63.3,Satinado,Proveedor B,Éxito,1251.0,92.3,18.48,24.0,24.0,87.96,3.93,-2.89
453.31,202.58,230.27,18.19,2.25,0.8,1.98,257.39,Mate,Proveedor B,Éxito,1425.0,91.0,20.67,6.0,21.4,97.85,2.63,-4.88
351.86,220.48,283.31,7.52,3.29,0.47,7.33,278.67,Mate,Proveedor C,Éxito,1279.0,90.9,19.61,24.0,14.4,95.76,-0.11,1.92
363.44,223.12,504.09,19.81,0.93,0.74,3.54,189.49,Mate,Proveedor B,Éxito,1461.0,92.0,16.23,14.0,15.1,95.25,-4.33,3.09
310.3,153.49,366.49,15.64,2.37,2.24,4.3,246.47,Satinado,Proveedor C,Éxito,1380.0,91.1,16.0,26.0,26.4,96.91,0.41,-3.06
368.25,243.94,566.35,11.96,3.78,0.39,5.1,99.88,Brillante,Proveedor C,Éxito,1703.0,93.6,18.4,76.0,19.6,90.0,2.11,-3.98
499.1,126.8,348.0,10.93,5.6,0.91,1.25,44.16,Satinado,Proveedor C,Falla - Viscosidad Alta,1533.0,114.5,18.52,27.0,23.7,91.02,3.62,0.92
471.48,226.02,382.62,18.65,1.38,2.16,2.66,58.85,Mate,Proveedor B,Éxito,1418.0,95.4,20.09,5.0,24.1,92.54,0.03,1.52
401.53,167.05,250.99,18.56,7.71,2.34,7.11,270.46,Satinado,Proveedor B,Éxito,1337.0,90.8,16.11,22.0,28.6,88.94,2.15,2.33
316.79,376.95,174.48,7.38,2.88,0.58,8.84,123.07,Brillante,Proveedor B,Falla - Baja Adhesión,192.0,92.5,18.25,10.0,18.5,85.68,3.55,-4.42
491.98,112.84,455.71,8.65,7.68,1.33,10.01,80.86,Satinado,Proveedor C,Éxito,1649.0,93.0,21.51,34.0,18.8,94.91,-3.03,-2.22
484.53,226.52,589.22,13.36,5.37,2.65,3.55,284.76,Mate,Proveedor A,Éxito,1571.0,91.5,22.29,19.0,22.0,87.44,-3.91,-2.51
434.23,180.71,230.79,5.8,8.74,0.02,14.14,151.41,Satinado,Proveedor B,Falla - Baja Estabilidad,1371.0,91.3,21.3,25.0,6.2,91.46,3.89,3.72
397.53,158.41,427.33,16.46,4.02,0.95,7.93,195.18,Satinado,Proveedor B,Éxito,1640.0,91.6,17.29,40.0,21.5,92.51,2.22,-4.69
460.02,180.23,444.59,11.97,8.82,0.83,14.29,107.69,Mate,Proveedor C,Éxito,1731.0,92.4,21.58,15.0,18.5,90.59,1.02,-1.12
443.51,163.53,487.99,15.74,5.48,1.11,5.46,164.87,Brillante,Proveedor A,Éxito,1688.0,92.0,18.08,26.0,25.1,93.69,-4.22,2.32
176.42,318.44,471.12,12.91,9.63,0.43,5.09,165.98,Satinado,Proveedor B,Falla - Bajo Poder Cubriente,1693.0,91.6,7.5,42.0,23.6,92.48,-1.77,4.99
484.5,166.44,247.67,9.44,0.63,0.91,6.81,171.55,Satinado,Proveedor C,Éxito,1359.0,91.5,18.14,23.0,21.7,94.84,0.18,-2.76
303.81,177.2,462.1,17.41,3.18,2.89,6.04,124.78,Mate,Proveedor C,Éxito,1680.0,92.5,16.92,21.0,26.8,92.74,-2.72,-0.11
306.98,127.63,526.91,11.02,2.28,1.03,4.69,288.83,Mate,Proveedor C,Éxito,1803.0,91.2,17.74,13.0,23.4,86.64,-2.84,-0.76
381.29,138.24,363.96,13.18,6.63,1.53,11.1,137.78,Brillante,Proveedor B,Éxito,1595.0,91.8,15.69,22.0,26.4,85.29,3.62,-2.19
306.59,222.95,258.62,19.12,3.67,0.75,9.83,127.03,Brillante,Proveedor C,Éxito,1410.0,91.8,15.81,17.0,17.4,87.62,4.68,-3.74
457.86,168.21,549.14,19.51,7.06,2.08,7.46,212.66,Satinado,Proveedor A,Éxito,1585.0,91.7,20.19,42.0,20.6,96.64,0.76,3.48
335.23,122.28,484.63,8.53,2.89,1.94,3.62,234.92,Mate,Proveedor C,Éxito,1763.0,91.4,17.74,25.0,23.9,85.28,4.18,0.58
312.01,153.69,564.66,5.57,9.74,2.9,12.05,231.52,Brillante,Proveedor A,Éxito,1781.0,91.4,17.3,33.0,29.1,85.43,-4.36,-4.72
102.08,353.71,421.38,15.84,2.62,1.62,6.08,71.27,Satinado,Proveedor C,Falla - Bajo Poder Cubriente,1470.0,94.1,5.27,35.0,24.6,96.19,-4.76,-4.83
167.11,309.08,255.51,14.98,3.26,2.55,9.1,102.67,Brillante,Proveedor B,Falla - Bajo Poder Cubriente,1325.0,92.0,2.74,31.0,19.0,95.18,0.15,0.31
465.77,115.49,542.56,6.72,8.05,1.66,14.75,69.02,Brillante,Proveedor A,Falla - Viscosidad Alta,1878.0,116.6,17.77,74.0,20.5,91.06,3.16,-3.53
435.74,246.07,389.78,11.66,6.28,1.74,1.06,184.56,Satinado,Proveedor C,Éxito,1426.0,91.6,18.05,24.0,21.0,95.82,-3.76,-3.84
369.99,106.94,227.88,13.38,3.28,2.9,9.07,277.93,Mate,Proveedor B,Éxito,1315.0,90.7,19.33,16.0,23.5,94.1,1.66,-0.01
386.54,312.12,198.57,13.8,1.49,1.75,8.28,286.5,Satinado,Proveedor A,Falla - Baja Adhesión,730.0,91.3,20.04,15.0,17.3,86.39,1.77,-1.58
459.55,129.29,220.12,13.29,3.13,0.17,1.09,200.53,Brillante,Proveedor A,Éxito,1482.0,91.1,20.3,67.0,14.3,87.72,0.57,1.81
233.35,246.51,427.25,11.94,8.7,0.63,11.62,117.62,Brillante,Proveedor A,Falla - Bajo Poder Cubriente,1659.0,92.1,5.37,22.0,21.3,87.82,-4.4,-4.25
451.57,173.95,318.49,18.5,5.57,0.47,20.0,135.58,Brillante,Proveedor A,Falla - Baja Estabilidad,1550.0,91.8,20.08,71.0,5.2,91.49,0.01,-0.29
474.04,174.77,526.53,13.34,2.12,2.76,4.24,43.35,Brillante,Proveedor A,Falla - Viscosidad Alta,1792.0,113.0,17.76,16.0,18.2,92.62,1.69,3.34
464.38,150.27,391.46,10.29,9.0,2.77,12.58,53.67,Mate,Proveedor C,Éxito,1532.0,93.4,19.56,13.0,22.7,96.83,4.27,2.23
463.83,125.06,424.48,8.59,4.34,0.29,7.57,168.81,Mate,Proveedor B,Éxito,1609.0,91.8,19.5,9.0,19.1,86.24,-2.54,-2.66
340.3,182.84,443.29,9.53,7.76,1.96,3.78,181.01,Mate,Proveedor A,Éxito,1465.0,91.6,17.8,23.0,28.9,85.86,0.86,-4.68
461.73,161.76,332.1,9.01,7.74,1.49,11.46,103.29,Brillante,Proveedor A,Éxito,1361.0,92.2,19.26,14.0,18.8,85.84,1.56,4.21
301.32,163.66,229.73,18.28,0.84,2.88,7.55,274.92,Brillante,Proveedor C,Éxito,1421.0,90.8,17.78,51.0,18.9,95.12,1.95,4.61
568.26,182.96,454.78,8.38,8.92,2.38,14.77,45.48,Mate,Proveedor B,Falla - Viscosidad Alta,1679.0,119.2,16.95,22.0,19.8,85.3,-3.68,4.8
317.07,351.2,132.65,15.23,4.72,0.55,3.62,209.91,Brillante,Proveedor B,Falla - Baja Adhesión,550.0,91.1,18.01,21.0,21.7,96.74,4.69,-1.05
457.21,119.02,259.13,16.71,0.81,2.16,3.64,143.09,Brillante,Proveedor C,Éxito,1422.0,91.7,19.08,56.0,17.3,87.8,0.85,-1.47
334.56,249.38,413.12,9.86,7.98,1.36,10.2,77.45,Mate,Proveedor B,Éxito,1515.0,93.0,16.24,17.0,18.7,85.19,-3.48,-0.27
420.56,137.73,380.69,15.86,6.72,2.03,14.36,88.79,Mate,Proveedor C,Éxito,1411.0,92.6,17.23,14.0,22.5,92.89,-1.85,3.7
384.54,136.82,381.25,10.13,5.67,1.83,8.84,288.35,Mate,Proveedor C,Éxito,1519.0,91.0,17.79,8.0,26.9,92.73,2.74,0.42
334.04,141.67,213.07,15.75,7.1,1.02,1.25,82.8,Brillante,Proveedor C,Éxito,1247.0,91.8,15.43,61.0,18.8,92.47,-0.08,3.35
343.28,201.75,578.84,8.97,6.84,2.9,5.8,240.91,Satinado,Proveedor B,Éxito,1716.0,91.5,16.84,34.0,20.9,86.15,4.34,0.04
449.98,250.0,539.11,15.65,9.27,1.01,5.4,297.35,Brillante,Proveedor B,Éxito,1728.0,91.3,21.41,35.0,18.8,96.73,-3.22,4.47
326.1,129.08,303.03,19.49,2.61,0.15,7.0,94.87,Mate,Proveedor C,Éxito,1323.0,92.4,16.27,28.0,20.9,92.72,-3.2,4.73
432.42,107.75,259.18,18.19,0.82,2.81,2.15,237.41,Satinado,Proveedor A,Éxito,1471.0,91.0,18.44,20.0,19.1,86.56,-2.22,-4.01
409.47,177.22,479.27,8.99,1.14,2.91,7.79,299.92,Mate,Proveedor A,Éxito,1756.0,91.2,17.08,21.0,26.4,88.3,-2.06,3.28
419.91,226.39,336.38,18.73,6.1,2.2,1.17,130.29,Brillante,Proveedor B,Éxito,1316.0,92.0,17.27,24.0,20.2,94.85,-1.57,1.49
201.19,286.08,477.56,9.15,4.18,2.29,4.47,235.48,Satinado,Proveedor C,Falla - Bajo Poder Cubriente,1641.0,91.4,4.32,35.0,22.9,85.74,3.38,1.24
486.61,301.13,122.04,16.93,0.97,0.64,6.71,114.21,Mate,Proveedor A,Falla - Baja Adhesión,752.0,92.4,20.85,6.0,22.3,93.62,1.91,-3.32
300.07,230.61,293.4,17.77,2.25,2.83,6.34,267.7,Satinado,Proveedor C,Éxito,1392.0,91.0,18.13,36.0,23.1,91.42,4.53,3.67
462.43,320.12,190.54,10.84,7.87,1.43,12.53,165.96,Brillante,Proveedor C,Falla - Baja Adhesión,537.0,91.4,19.2,41.0,22.3,87.8,4.25,4.94
390.34,247.57,392.42,19.51,1.71,0.27,11.97,221.41,Mate,Proveedor C,Éxito,1486.0,91.5,18.93,18.0,18.0,92.08,-1.93,-3.16
416.26,198.26,320.25,12.35,1.05,1.49,13.99,86.66,Brillante,Proveedor B,Éxito,1399.0,93.3,17.63,35.0,19.9,89.11,4.78,-2.21
107.33,339.27,389.24,8.34,6.75,2.24,2.33,147.56,Satinado,Proveedor B,Falla - Bajo Poder Cubriente,1649.0,91.8,3.96,27.0,23.1,87.44,-1.59,0.68
431.19,129.5,502.18,17.86,9.62,1.0,2.99,136.1,Mate,Proveedor A,Éxito,1550.0,92.0,17.97,24.0,21.0,87.9,-0.72,1.08
491.04,163.06,548.46,16.02,5.81,1.15,14.93,95.37,Mate,Proveedor B,Éxito,1563.0,93.4,18.1,8.0,21.7,92.89,-4.31,4.74
400.35,174.27,368.31,7.77,3.79,2.69,10.32,291.26,Mate,Proveedor A,Éxito,1558.0,91.0,17.59,14.0,24.9,90.01,1.95,-1.05
399.75,162.59,479.23,5.06,3.76,2.75,5.39,151.23,Mate,Proveedor C,Éxito,1715.0,92.2,17.48,19.0,20.1,96.58,-2.7,-2.68
498.92,107.82,298.62,12.84,0.6,2.17,12.94,24.24,Mate,Proveedor C,Falla - Viscosidad Alta,1465.0,112.8,20.32,24.0,19.2,93.72,0.92,-4.04
249.7,372.43,349.6,19.89,7.77,1.51,13.15,196.88,Satinado,Proveedor C,Falla - Bajo Poder Cubriente,1404.0,91.3,2.76,48.0,26.0,87.66,-0.16,-2.84
473.6,121.73,446.58,12.94,4.56,1.84,11.45,201.82,Mate,Proveedor A,Éxito,1773.0,91.6,20.3,22.0,22.2,96.66,3.05,3.55
468.0,194.53,576.81,18.76,1.9,0.23,10.77,221.51,Brillante,Proveedor A,Falla - Baja Estabilidad,1575.0,91.9,19.49,12.0,5.6,91.87,3.53,-1.5
498.02,197.05,316.0,10.03,5.92,1.08,14.26,192.76,Brillante,Proveedor C,Éxito,1471.0,91.4,22.54,35.0,19.2,86.18,-2.14,-2.19
590.27,154.33,385.82,14.8,9.43,2.74,11.04,49.31,Mate,Proveedor B,Falla - Viscosidad Alta,1568.0,106.3,18.96,27.0,22.9,96.71,-3.25,3.75
390.32,156.47,288.66,18.43,9.08,1.19,7.37,247.48,Mate,Proveedor A,Éxito,1378.0,90.9,17.0,6.0,18.9,93.32,-1.92,2.81
317.79,146.92,231.28,9.37,6.03,1.13,7.67,177.9,Brillante,Proveedor A,Éxito,1337.0,91.1,18.07,69.0,22.8,89.52,1.51,-0.91
317.09,118.26,414.26,8.64,6.86,2.97,12.03,269.51,Brillante,Proveedor B,Éxito,1525.0,91.0,18.51,50.0,23.2,94.25,0.42,-3.46
386.33,202.89,278.05,5.84,8.2,0.88,2.63,88.89,Satinado,Proveedor C,Éxito,1545.0,92.1,19.75,24.0,18.0,86.87,1.06,-2.49
326.92,193.64,238.21,8.94,4.51,0.19,12.13,71.56,Mate,Proveedor A,Éxito,1490.0,92.6,14.62,22.0,16.9,95.82,-4.92,4.8
402.13,206.92,232.13,16.35,8.3,2.5,12.42,169.48,Brillante,Proveedor A,Éxito,1513.0,91.2,18.73,25.0,21.3,89.14,4.54,2.02
348.08,165.03,429.58,12.78,9.57,1.98,7.11,145.92,Satinado,Proveedor C,Éxito,1438.0,91.7,16.55,16.0,23.1,90.97,-1.14,0.02
339.9,248.56,369.24,17.59,2.74,0.17,6.59,257.52,Mate,Proveedor C,Éxito,1334.0,91.2,17.92,12.0,21.4,97.72,-2.12,-2.7
424.19,173.23,387.35,9.92,4.41,1.15,2.58,204.19,Mate,Proveedor C,Éxito,1399.0,91.5,20.93,19.0,22.4,86.06,-4.14,-3.13
467.38,148.21,559.46,13.44,8.18,1.75,5.51,124.51,Satinado,Proveedor A,Éxito,1567.0,92.5,19.63,25.0,20.1,86.83,2.14,-2.84
499.35,232.71,347.79,10.73,8.61,0.87,10.22,284.2,Brillante,Proveedor A,Éxito,1474.0,91.0,18.42,65.0,24.0,90.1,-2.61,-3.11
102.56,315.48,296.8,19.12,3.98,0.67,5.22,136.94,Satinado,Proveedor A,Falla - Bajo Poder Cubriente,1526.0,91.7,3.01,22.0,18.1,92.18,3.83,1.5
316.69,156.94,291.95,17.81,4.06,2.51,6.32,286.07,Brillante,Proveedor C,Éxito,1463.0,90.8,18.14,13.0,20.1,93.65,4.28,0.26
390.33,207.65,253.81,18.49,5.37,0.87,14.55,282.39,Satinado,Proveedor C,Éxito,1322.0,90.9,17.08,41.0,16.2,86.8,-0.8,4.9
358.93,265.43,199.62,8.64,6.15,0.61,10.04,249.12,Mate,Proveedor B,Falla - Baja Adhesión,645.0,91.0,18.91,14.0,22.2,96.2,1.07,-1.2
469.4,132.37,346.78,9.98,9.44,1.93,5.07,191.35,Satinado,Proveedor B,Éxito,1410.0,91.3,17.45,32.0,24.3,91.07,4.9,0.92
341.86,158.84,519.22,19.08,3.59,2.25,3.58,103.22,Brillante,Proveedor C,Éxito,1513.0,93.1,18.18,12.0,18.5,97.95,0.63,3.84
434.24,220.03,213.49,10.41,3.1,1.24,11.02,231.38,Mate,Proveedor A,Éxito,1303.0,91.1,21.19,19.0,15.7,96.31,0.83,1.17
362.04,152.34,288.62,10.82,5.67,0.87,13.53,64.57,Mate,Proveedor C,Éxito,1356.0,92.8,18.27,10.0,23.1,86.2,1.76,-1.94
363.6,247.69,541.25,11.51,2.54,2.08,1.31,287.97,Brillante,Proveedor A,Éxito,1719.0,91.4,17.04,18.0,25.4,88.91,-3.48,-3.87
432.23,135.2,576.21,11.7,4.94,2.98,2.18,145.07,Satinado,Proveedor C,Éxito,1575.0,92.4,19.12,36.0,25.1,93.15,-2.57,4.27
438.53,119.51,539.31,16.76,7.92,2.42,6.96,165.77,Satinado,Proveedor A,Éxito,1637.0,91.9,19.56,34.0,29.7,86.67,3.47,2.71
338.2,248.11,557.7,9.37,2.54,1.43,8.65,86.79,Satinado,Proveedor A,Éxito,1627.0,94.2,18.58,27.0,23.3,94.49,-1.09,1.56
371.71,215.74,227.2,9.05,1.81,0.35,18.38,256.65,Satinado,Proveedor B,Falla - Baja Estabilidad,1407.0,91.0,20.4,47.0,1.4,88.19,2.23,0.75
314.74,143.24,318.97,13.09,9.85,0.87,5.74,280.22,Brillante,Proveedor C,Éxito,1510.0,90.8,15.41,69.0,24.9,85.64,-0.38,-1.81
321.41,230.92,272.06,5.04,5.54,1.47,11.82,84.76,Brillante,Proveedor A,Éxito,1248.0,92.4,17.05,60.0,20.1,92.89,3.92,-1.39
436.35,184.3,544.0,7.5,0.56,0.93,1.06,150.16,Mate,Proveedor C,Éxito,1620.0,92.7,21.36,15.0,20.1,85.3,4.08,2.35
408.48,114.31,426.82,5.77,3.3,1.69,1.96,287.36,Mate,Proveedor C,Éxito,1535.0,91.1,17.32,21.0,22.7,95.09,0.77,1.1
362.99,197.11,272.55,11.02,9.24,2.55,14.82,296.69,Brillante,Proveedor B,Éxito,1401.0,90.8,19.22,43.0,26.8,85.18,-4.87,0.97
399.53,136.75,430.11,9.99,7.64,2.82,11.25,97.07,Satinado,Proveedor C,Éxito,1582.0,92.5,16.16,31.0,22.7,90.56,-4.04,0.5
367.99,149.94,272.75,15.63,7.02,2.38,1.17,246.24,Brillante,Proveedor A,Éxito,1530.0,90.9,15.77,24.0,27.0,91.64,-4.57,1.95
424.74,243.26,353.54,5.27,2.55,0.51,10.13,283.95,Satinado,Proveedor A,Éxito,1596.0,91.1,20.78,45.0,18.8,95.55,0.42,0.47
326.63,154.97,402.0,17.97,3.21,1.53,8.46,74.64,Mate,Proveedor C,Éxito,1441.0,93.4,19.29,22.0,25.7,90.66,-0.58,1.9
431.67,125.43,322.39,8.44,1.07,0.65,3.28,191.0,Brillante,Proveedor B,Éxito,1515.0,91.5,17.36,53.0,17.8,86.46,4.93,0.11
237.03,290.31,511.0,5.78,2.65,0.63,13.15,95.39,Satinado,Proveedor A,Falla - Bajo Poder Cubriente,1750.0,93.8,4.88,25.0,13.8,88.17,-4.04,0.6
356.99,139.14,287.25,17.65,5.08,2.76,11.53,269.31,Brillante,Proveedor A,Éxito,1436.0,90.9,15.71,52.0,28.8,93.11,0.8,2.33
310.16,193.97,461.88,14.12,5.93,1.05,3.62,247.83,Mate,Proveedor A,Éxito,1665.0,91.3,16.71,10.0,24.9,96.74,3.1,1.37
434.4,116.71,242.87,17.74,6.42,2.31,9.26,104.33,Mate,Proveedor C,Éxito,1546.0,91.8,20.29,26.0,22.2,95.17,4.6,2.13
461.72,188.19,573.4,6.99,8.62,1.69,11.8,49.19,Satinado,Proveedor B,Falla - Viscosidad Alta,1558.0,119.3,21.21,30.0,20.1,97.15,-1.74,4.81
336.4,306.01,72.52,17.59,1.26,1.7,12.72,227.76,Mate,Proveedor B,Falla - Baja Adhesión,468.0,91.8,17.77,13.0,17.3,86.43,2.32,0.75
483.66,164.59,395.17,12.21,4.88,0.69,14.81,90.31,Brillante,Proveedor B,Éxito,1515.0,93.0,17.76,14.0,16.0,85.03,-2.63,0.29
433.28,125.16,307.89,9.73,3.58,0.28,1.56,228.45,Satinado,Proveedor A,Éxito,1594.0,91.1,18.57,18.0,16.6,94.45,0.01,-0.31
568.82,133.66,399.18,18.99,2.46,2.24,4.07,24.1,Satinado,Proveedor A,Falla - Viscosidad Alta,1618.0,117.0,16.84,31.0,24.1,95.6,-2.62,3.53
313.53,138.72,241.66,10.89,8.03,2.67,8.51,276.9,Satinado,Proveedor C,Éxito,1392.0,90.7,15.98,15.0,29.1,93.81,2.27,2.18
507.81,223.01,562.12,11.89,5.38,1.88,9.83,55.33,Brillante,Proveedor C,Falla - Viscosidad Alta,1658.0,108.0,20.92,78.0,24.2,86.34,1.23,-0.74
461.36,133.67,511.9,8.28,4.83,2.36,10.46,24.91,Satinado,Proveedor B,Falla - Viscosidad Alta,1525.0,105.6,20.09,24.0,20.9,91.29,1.83,-4.22
389.28,192.2,509.81,15.73,6.74,1.6,14.65,278.42,Mate,Proveedor B,Éxito,1611.0,91.3,19.2,8.0,24.1,85.49,3.76,2.63
428.44,120.28,366.98,10.48,8.4,2.43,12.92,72.76,Mate,Proveedor A,Éxito,1470.0,92.7,20.66,27.0,27.9,87.8,-3.72,-3.58
441.84,206.37,515.77,11.84,3.91,3.0,1.5,73.08,Satinado,Proveedor C,Éxito,1587.0,94.4,20.79,15.0,26.5,92.93,-2.67,-4.47
369.0,180.39,542.19,16.47,2.64,2.86,5.04,188.46,Satinado,Proveedor B,Éxito,1507.0,92.0,17.6,47.0,25.3,90.01,-3.15,3.98
420.84,163.89,403.77,14.87,0.72,2.65,4.35,256.33,Brillante,Proveedor A,Éxito,1682.0,91.3,16.49,16.0,27.2,87.13,1.32,0.54
300.04,136.89,549.42,10.91,7.63,1.43,12.13,251.32,Satinado,Proveedor B,Éxito,1852.0,91.3,14.28,28.0,26.4,94.32,3.67,-2.29
356.02,225.3,531.48,12.27,3.95,1.87,11.79,228.55,Mate,Proveedor C,Éxito,1690.0,91.6,18.43,17.0,19.4,97.84,0.31,-2.44
441.9,174.61,301.2,7.34,4.59,2.19,2.8,242.36,Mate,Proveedor B,Éxito,1428.0,91.1,20.58,12.0,27.9,87.76,-4.55,-4.01
499.44,172.43,398.2,13.58,4.47,0.7,10.99,179.15,Satinado,Proveedor C,Éxito,1437.0,91.7,20.89,27.0,20.2,94.72,0.73,-0.81
412.08,113.92,478.65,17.25,1.01,2.16,2.2,88.83,Satinado,Proveedor C,Éxito,1764.0,93.8,18.62,25.0,20.4,87.03,-4.47,2.42
329.09,153.24,474.29,16.38,5.61,2.16,6.03,102.35,Mate,Proveedor A,Éxito,1615.0,92.7,17.81,17.0,26.0,94.3,-4.29,-4.01
312.75,166.7,592.67,16.5,7.4,2.11,12.36,63.17,Brillante,Proveedor B,Éxito,1744.0,94.1,17.14,23.0,28.1,88.59,-0.55,-1.24
395.08,101.46,324.83,12.53,6.81,1.87,12.17,218.16,Mate,Proveedor C,Éxito,1512.0,91.1,16.57,8.0,24.1,87.58,3.36,1.68
481.45,155.31,420.62,15.41,7.42,1.1,13.29,183.94,Satinado,Proveedor C,Éxito,1650.0,91.6,18.96,44.0,23.2,94.4,4.34,3.8
185.45,313.94,338.83,10.22,5.21,2.8,5.11,230.11,Mate,Proveedor C,Falla - Bajo Poder Cubriente,1400.0,91.2,1.77,16.0,23.6,97.28,-4.04,4.73
487.47,246.45,404.38,15.55,1.95,2.37,13.33,86.78,Mate,Proveedor A,Éxito,1583.0,93.9,20.23,5.0,19.5,86.0,4.75,-0.75
394.17,105.59,273.68,16.81,9.27,0.9,10.39,78.27,Mate,Proveedor B,Éxito,1308.0,92.0,16.16,20.0,25.1,86.31,1.06,-1.83
343.95,148.17,308.48,13.42,6.73,0.36,14.14,248.78,Brillante,Proveedor A,Falla - Baja Estabilidad,1485.0,90.9,17.72,57.0,1.0,87.19,2.57,-2.58
405.97,131.5,289.15,10.48,7.64,1.97,12.34,179.97,Mate,Proveedor A,Éxito,1545.0,91.2,16.85,18.0,23.1,89.54,-2.58,-1.39
418.1,150.97,210.3,12.75,3.45,2.54,14.43,291.95,Satinado,Proveedor A,Éxito,1318.0,90.8,18.08,40.0,21.3,88.29,3.45,-3.05
430.34,170.21,384.26,17.14,4.56,0.8,2.39,109.97,Satinado,Proveedor C,Éxito,1490.0,92.5,20.13,38.0,23.5,90.22,1.01,-1.95
361.6,164.84,468.41,12.17,4.85,0.2,9.73,145.77,Brillante,Proveedor A,Éxito,1683.0,92.1,17.52,52.0,23.7,87.08,3.53,4.15
